Altium Designer Pick and Place Locations
D:\0001Nour\D\My Work\Design\Altium Design\project\UpWork Projects\010- Four Stepper Motor controller\Hardware Design\Project Outputs for Hardware Design\Pick Place for SystemV1.csv

========================================================================================================================
File Design Information:

Date:       04/02/25
Time:       22:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"T5","MMBT3904 Transistor","TopLayer","MMBT3904","173.9900mm","46.8630mm","0","C108429"
"T4","MMBT3904 Transistor","TopLayer","MMBT3904","137.4140mm","20.7010mm","270","C108429"
"T3","MMBT3904 Transistor","TopLayer","MMBT3904","202.3140mm","53.4670mm","270","C108429"
"T2","MMBT3904 Transistor","TopLayer","MMBT3904","224.5360mm","46.8630mm","0","C108429"
"T1","MMBT3904 Transistor","TopLayer","MMBT3904","190.5000mm","22.9870mm","270","C108429"
"SW5","C492861","TopLayer","SW-SMD_L4.0-W3.0-LS4.8","24.8920mm","70.6120mm","0","C492861"
"SW4","MST23D19G2","TopLayer","SW-SMD_MST23D19G2","56.2609mm","23.8760mm","270","C431545"
"SW3","MST23D19G2","TopLayer","SW-SMD_MST23D19G2","106.8899mm","23.8760mm","270","C431545"
"SW2","MST23D19G2","TopLayer","SW-SMD_MST23D19G2","157.4799mm","23.8760mm","270","C431545"
"SW1","MST23D19G2","TopLayer","SW-SMD_MST23D19G2","208.0259mm","23.8760mm","270","C431545"
"R84","24KR","TopLayer","RESC1608X06N","22.4790mm","81.5340mm","0","C2930081"
"R83","24KR","TopLayer","RESC1608X06N","30.0990mm","70.2310mm","90","C2930081"
"R82","4.7KR","TopLayer","R0402","51.1810mm","56.7690mm","180","C105871"
"R81","4.7KR","TopLayer","R0402","51.1810mm","57.6580mm","180","C105871"
"R80","1K","TopLayer","R0402","52.3240mm","68.5800mm","90","C106235"
"R79","4.7KR","TopLayer","R0402","53.9750mm","53.3400mm","270","C105871"
"R78","330R","TopLayer","R0402","45.9740mm","68.9610mm","90","C105875"
"R77","4.7KR","TopLayer","R0402","43.9420mm","56.2610mm","180","C105871"
"R76","330R","TopLayer","R0402","35.4330mm","69.0880mm","90","C105875"
"R75","4.7KR","TopLayer","R0402","33.2740mm","56.2610mm","180","C105871"
"R74","0.2R","TopLayer","RESC6431X12N","52.8320mm","38.3540mm","90","C2903473"
"R73","0.2R","TopLayer","RESC6431X12N","57.0230mm","38.3540mm","90","C2903473"
"R72","51KR","TopLayer","R0402","44.8310mm","41.6560mm","270","C107230"
"R71","4.7KR","TopLayer","R0402","48.9468mm","40.7670mm","180","C105871"
"R70","0R","TopLayer","RESC1608X06N","64.6460mm","51.4350mm","90","C100044"
"R69","33KR","TopLayer","RESC1608X06N","42.9260mm","41.2750mm","270","C126359"
"R68","33KR","TopLayer","RESC1608X06N","69.3420mm","44.1960mm","0","C126359"
"R67","4.7KR","TopLayer","R0402","35.0520mm","22.8600mm","270","C105871"
"R66","24KR","TopLayer","RESC1608X06N","71.5010mm","50.2920mm","90","C2930081"
"R65","4.7KR","TopLayer","R0402","74.4220mm","49.6570mm","270","C105871"
"R64","4.7KR","TopLayer","R0402","65.6590mm","42.0370mm","180","C105871"
"R63","470R","TopLayer","RESC1608X06N","39.8780mm","25.2730mm","270","C114669"
"R62","4.7KR","TopLayer","R0402","102.1110mm","55.8800mm","180","C105871"
"R61","4.7KR","TopLayer","R0402","102.1110mm","56.7690mm","180","C105871"
"R60","1K","TopLayer","R0402","102.9970mm","67.6392mm","90","C106235"
"R59","4.7KR","TopLayer","R0402","104.2700mm","54.1772mm","270","C105871"
"R58","330R","TopLayer","R0402","96.6470mm","68.4530mm","90","C105875"
"R57","4.7KR","TopLayer","R0402","94.1588mm","55.8800mm","180","C105871"
"R56","330R","TopLayer","R0402","86.1060mm","68.8340mm","90","C105875"
"R55","4.7KR","TopLayer","R0402","84.2010mm","56.0070mm","180","C105871"
"R54","0.2R","TopLayer","RESC6431X12N","102.9970mm","38.2270mm","90","C2903473"
"R53","0.2R","TopLayer","RESC6431X12N","107.3150mm","38.2270mm","90","C2903473"
"R52","51KR","TopLayer","R0402","95.1230mm","41.5290mm","270","C107230"
"R51","4.7KR","TopLayer","R0402","99.5162mm","40.8940mm","180","C105871"
"R50","0R","TopLayer","RESC1608X06N","114.1760mm","51.4350mm","90","C100044"
"R49","33KR","TopLayer","RESC1608X06N","93.2180mm","41.1480mm","270","C126359"
"R48","24KR","TopLayer","RESC1608X06N","39.4970mm","84.9630mm","180","C2930081"
"R47","33KR","TopLayer","RESC1608X06N","119.6340mm","44.1960mm","0","C126359"
"R46","4.7KR","TopLayer","R0402","83.6960mm","22.7330mm","270","C105871"
"R45","24KR","TopLayer","RESC1608X06N","119.3800mm","50.2920mm","90","C2930081"
"R44","4.7KR","TopLayer","R0402","124.4600mm","49.6570mm","270","C105871"
"R43","4.7KR","TopLayer","R0402","116.0810mm","42.0370mm","180","C105871"
"R42","470R","TopLayer","RESC1608X06N","88.2650mm","25.2730mm","270","C114669"
"R41","4.7KR","TopLayer","R0402","152.0220mm","56.3880mm","180","C105871"
"R40","4.7KR","TopLayer","R0402","152.0220mm","57.2770mm","180","C105871"
"R39","1K","TopLayer","R0402","153.5430mm","68.1990mm","90","C106235"
"R38","4.7KR","TopLayer","R0402","154.8160mm","55.1180mm","270","C105871"
"R37","330R","TopLayer","R0402","147.0660mm","69.4690mm","90","C105875"
"R36","4.7KR","TopLayer","R0402","145.1610mm","56.5150mm","180","C105871"
"R35","330R","TopLayer","R0402","136.5250mm","69.4690mm","90","C105875"
"R34","4.7KR","TopLayer","R0402","133.7340mm","56.2610mm","0","C105871"
"R33","0.2R","TopLayer","RESC6431X12N","153.9240mm","38.6080mm","90","C2903473"
"R32","0.2R","TopLayer","RESC6431X12N","158.3690mm","38.6080mm","90","C2903473"
"R31","51KR","TopLayer","R0402","145.6690mm","41.5290mm","270","C107230"
"R30","4.7KR","TopLayer","R0402","150.1140mm","40.7670mm","180","C105871"
"R29","0R","TopLayer","RESC1608X06N","164.5950mm","51.5620mm","90","C100044"
"R28","33KR","TopLayer","RESC1608X06N","143.6370mm","41.1480mm","270","C126359"
"R27","33KR","TopLayer","RESC1608X06N","169.9260mm","44.1960mm","0","C126359"
"R26","4.7KR","TopLayer","R0402","133.7310mm","21.7170mm","270","C105871"
"R25","24KR","TopLayer","RESC1608X06N","172.8470mm","50.2920mm","90","C2930081"
"R24","4.7KR","TopLayer","R0402","175.3870mm","49.6570mm","270","C105871"
"R23","4.7KR","TopLayer","R0402","166.8780mm","41.6560mm","180","C105871"
"R22","470R","TopLayer","RESC1608X06N","138.3030mm","24.3840mm","270","C114669"
"R21","4.7KR","TopLayer","R0402","10.6680mm","50.9270mm","90","C105871"
"R20","330R","TopLayer","R0402","196.4690mm","69.4690mm","90","C105875"
"R19","4.7KR","TopLayer","R0402","194.4370mm","56.2610mm","180","C105871"
"R18","330R","TopLayer","R0402","185.9280mm","69.4690mm","90","C105875"
"R17","4.7KR","TopLayer","R0402","183.8960mm","56.5150mm","180","C105871"
"R16","0.2R","TopLayer","RESC6431X12N","203.9620mm","38.3540mm","90","C2903473"
"R15","0.2R","TopLayer","RESC6431X12N","208.1530mm","38.3540mm","90","C2903473"
"R14","51KR","TopLayer","R0402","196.2150mm","41.6560mm","270","C107230"
"R13","4.7KR","TopLayer","R0402","200.5330mm","40.7670mm","180","C105871"
"R12","0R","TopLayer","RESC1608X06N","215.0140mm","51.8160mm","90","C100044"
"R11","4.7KR","TopLayer","R0402","201.2228mm","56.1340mm","180","C105871"
"R10","33KR","TopLayer","RESC1608X06N","194.3100mm","41.2750mm","270","C126359"
"R9","33KR","TopLayer","RESC1608X06N","220.5990mm","44.1960mm","0","C126359"
"R8","4.7KR","TopLayer","R0402","201.1710mm","57.0230mm","180","C105871"
"R7","1K","TopLayer","R0402","203.0730mm","68.0720mm","90","C106235"
"R6","4.7KR","TopLayer","R0402","204.6000mm","53.5940mm","270","C105871"
"R5","24KR","TopLayer","RESC1608X06N","223.2660mm","50.2920mm","90","C2930081"
"R4","4.7KR","TopLayer","R0402","225.8060mm","49.6570mm","270","C105871"
"R3","4.7KR","TopLayer","R0402","186.6930mm","23.8760mm","270","C105871"
"R2","4.7KR","TopLayer","R0402","217.1730mm","41.7830mm","180","C105871"
"R1","470R","TopLayer","RESC1608X06N","191.3890mm","26.6700mm","270","C114669"
"Q4","C400505","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","69.2150mm","46.8630mm","270","C400505"
"Q3","C400505","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","119.5070mm","46.8630mm","270","C400505"
"Q2","C400505","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","170.0530mm","46.8630mm","270","C400505"
"Q1","C400505","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","220.7260mm","46.8630mm","270","C400505"
"LED5","1206 LED","TopLayer","1206_LED","76.8350mm","48.1330mm","270","C434438"
"LED4","1206 LED","TopLayer","1206_LED","126.7460mm","47.7520mm","270","C434438"
"LED3","1206 LED","TopLayer","1206_LED","177.4190mm","47.7520mm","270","C434438"
"LED2","1206 LED","TopLayer","1206_LED","7.4930mm","51.1810mm","180","C434442"
"LED1","1206 LED","TopLayer","1206_LED","227.8380mm","47.7520mm","270","C434438"
"L1","CMI201209X100KT","TopLayer","INDC2012X06N","32.6390mm","73.9140mm","90","C99366"
"C65","0.1uF/50V","TopLayer","PCBComponent_1","53.5940mm","57.4040mm","180","C1591"
"C64","0.1uF/50V","TopLayer","PCBComponent_1","48.5140mm","55.6110mm","90","C1591"
"C63","0.1uF/50V","TopLayer","PCBComponent_1","38.1000mm","55.6260mm","90","C1591"
"C62","1uF/16V","TopLayer","PCBComponent_1","64.0080mm","41.1480mm","90","C1592"
"C61","0.1uF/50V","TopLayer","PCBComponent_1","49.2760mm","41.9100mm","180","C1591"
"C59","10uF/25V","TopLayer","PCBComponent_1","61.7250mm","38.3540mm","0","C96446"
"C58","0.1uF/50V","TopLayer","PCBComponent_1","46.7360mm","47.4980mm","0","C1591"
"C57","0.1uF/50V","TopLayer","PCBComponent_1","41.7680mm","46.4820mm","0","C1591"
"C56","0.1uF/50V","TopLayer","PCBComponent_1","36.3220mm","22.4790mm","90","C1591"
"C55","0.1uF/50V","TopLayer","PCBComponent_1","49.4030mm","29.3370mm","180","C1591"
"C54","0.1uF/50V","TopLayer","PCBComponent_1","104.3940mm","56.3880mm","180","C1591"
"C53","0.1uF/50V","TopLayer","PCBComponent_1","99.1870mm","55.1180mm","90","C1591"
"C52","0.1uF/50V","TopLayer","PCBComponent_1","88.7730mm","55.2300mm","90","C1591"
"C51","1uF/16V","TopLayer","PCBComponent_1","114.1760mm","41.0210mm","90","C1592"
"C50","0.1uF/50V","TopLayer","PCBComponent_1","99.6950mm","42.0370mm","180","C1591"
"C48","10uF/25V","TopLayer","PCBComponent_1","111.8900mm","38.1000mm","0","C96446"
"C47","0.1uF/50V","TopLayer","PCBComponent_1","96.9190mm","47.3710mm","0","C1591"
"C46","0.1uF/50V","TopLayer","PCBComponent_1","92.2050mm","46.4820mm","0","C1591"
"C45","0.1uF/50V","TopLayer","PCBComponent_1","84.8390mm","22.4790mm","90","C1591"
"C44","0.1uF/50V","TopLayer","PCBComponent_1","97.7900mm","29.3370mm","180","C1591"
"C43","0.1uF/50V","TopLayer","PCBComponent_1","154.5620mm","56.8960mm","180","C1591"
"C42","0.1uF/50V","TopLayer","PCBComponent_1","149.7330mm","55.8800mm","90","C1591"
"C41","0.1uF/50V","TopLayer","PCBComponent_1","139.0650mm","55.8800mm","90","C1591"
"C40","1uF/16V","TopLayer","PCBComponent_1","164.8490mm","41.1480mm","90","C1592"
"C39","0.1uF/50V","TopLayer","PCBComponent_1","150.3680mm","41.9100mm","180","C1591"
"C37","10uF/25V","TopLayer","PCBComponent_1","162.4360mm","38.3540mm","0","C96446"
"C36","0.1uF/50V","TopLayer","PCBComponent_1","147.4500mm","47.4980mm","0","C1591"
"C35","0.1uF/50V","TopLayer","PCBComponent_1","142.6240mm","46.6090mm","0","C1591"
"C34","0.1uF/50V","TopLayer","PCBComponent_1","134.8740mm","21.4630mm","90","C1591"
"C33","0.1uF/50V","TopLayer","PCBComponent_1","147.7010mm","28.3210mm","180","C1591"
"C32","0.1uF/50V","TopLayer","PCBComponent_1","31.4960mm","70.2160mm","90","C1591"
"C31","4.7uF/16V","TopLayer","CASE-B_3528","43.5610mm","86.4870mm","0","C7206"
"C30","0.1uF/50V","TopLayer","PCBComponent_1","58.9280mm","77.8510mm","90","C1591"
"C29","10nF/50V","TopLayer","PCBComponent_1","32.8930mm","70.6120mm","90","C100042"
"C28","1uF/16V","TopLayer","PCBComponent_1","34.2900mm","70.5970mm","90","C1592"
"C27","4.7uF/25V","TopLayer","PCBComponent_1","28.3210mm","91.4400mm","270","C69335"
"C26","0.1uF/50V","TopLayer","PCBComponent_1","22.3520mm","79.3750mm","0","C1591"
"C25","0.1uF/50V","TopLayer","PCBComponent_1","26.9240mm","91.4400mm","270","C1591"
"C24","0.1uF/50V","TopLayer","PCBComponent_1","38.9890mm","87.7570mm","180","C1591"
"C23","0.1uF/50V","TopLayer","PCBComponent_1","38.7380mm","81.2950mm","270","C1591"
"C22","0.1uF/50V","TopLayer","PCBComponent_1","26.7970mm","74.8030mm","90","C1591"
"C21","0.1uF/50V","TopLayer","PCBComponent_1","10.0330mm","80.1370mm","270","C1591"
"C19","22uF/16V","TopLayer","PCBComponent_1","9.1440mm","91.0590mm","0","C2762594"
"C18","22uF/16V","TopLayer","PCBComponent_1","9.1440mm","87.1220mm","0","C2762594"
"C17","1uF/16V","TopLayer","PCBComponent_1","9.1440mm","88.5190mm","0","C1592"
"C11","0.1uF/50V","TopLayer","PCBComponent_1","198.5040mm","56.2610mm","0","C1591"
"C10","1uF/16V","TopLayer","PCBComponent_1","215.2680mm","41.1480mm","90","C1592"
"C9","0.1uF/50V","TopLayer","PCBComponent_1","187.8360mm","55.8800mm","0","C1591"
"C8","0.1uF/50V","TopLayer","PCBComponent_1","200.6600mm","41.9100mm","180","C1591"
"C7","10uF/25V","TopLayer","PCBComponent_1","212.4740mm","38.3540mm","0","C96446"
"C5","0.1uF/50V","TopLayer","PCBComponent_1","213.2360mm","51.9430mm","270","C1591"
"C4","0.1uF/50V","TopLayer","PCBComponent_1","192.9160mm","46.3550mm","0","C1591"
"C3","0.1uF/50V","TopLayer","PCBComponent_1","203.5810mm","56.6420mm","180","C1591"
"C2","0.1uF/50V","TopLayer","PCBComponent_1","187.9630mm","23.6220mm","90","C1591"
"C1","0.1uF/50V","TopLayer","PCBComponent_1","200.4090mm","30.2260mm","180","C1591"
"ASM1117","AMS1117 - 3.3V Reg","TopLayer","SOT229P700X180-4N","14.8590mm","90.9320mm","0","C347222"
